# CUDA K-means Timing Results
# Format: dataset,run,computation_time_seconds
dataset,run,computation_time
input100D,1,0.044411
input100D,2,0.037344
input100D,3,0.037029
input100D,4,0.037092
input100D,5,0.036909
input100D2,1,0.598702
input100D2,2,0.597488
input100D2,3,0.596693
input100D2,4,0.597131
input100D2,5,0.597158
200k_100,1,0.829767
200k_100,2,0.826281
200k_100,3,0.825494
200k_100,4,0.829199
200k_100,5,0.825566
400k_100,1,1.738270
400k_100,2,1.749237
400k_100,3,1.739725
400k_100,4,1.743574
400k_100,5,1.736132
800k_100,1,2.702692
800k_100,2,2.695523
800k_100,3,2.709034
800k_100,4,2.711882
800k_100,5,2.691722
