# MPI+OpenMP K-means Timing Results
# Format: dataset,processes,threads,total_cores,run,computation_time_seconds
dataset,processes,threads,total_cores,run,computation_time
input100D,2,1,2,1,0.689771
input100D,2,1,2,2,0.689619
input100D,2,1,2,3,0.689446
input100D,2,1,2,4,0.689654
input100D,2,1,2,5,0.689805
input100D,2,2,4,1,0.346968
input100D,2,2,4,2,0.346913
input100D,2,2,4,3,0.347263
input100D,2,2,4,4,0.347130
input100D,2,2,4,5,0.346999
input100D,2,4,8,1,0.175486
input100D,2,4,8,2,0.175345
input100D,2,4,8,3,0.175265
input100D,2,4,8,4,0.175710
input100D,2,4,8,5,0.181864
input100D,2,8,16,1,0.090843
input100D,2,8,16,2,0.090565
input100D,2,8,16,3,0.090938
input100D,2,8,16,4,0.090597
input100D,2,8,16,5,0.090668
input100D,2,16,32,1,0.050268
input100D,2,16,32,2,0.050229
input100D,2,16,32,3,0.050374
input100D,2,16,32,4,0.050555
input100D,2,16,32,5,0.050222
input100D,2,32,64,1,0.033139
input100D,2,32,64,2,0.033219
input100D,2,32,64,3,0.033033
input100D,2,32,64,4,0.033414
input100D,2,32,64,5,0.035620
input100D,4,1,4,1,0.828143
input100D,4,1,4,2,0.718789
input100D,4,1,4,3,0.694065
input100D,4,1,4,4,0.693771
input100D,4,1,4,5,0.722633
input100D,4,2,8,1,0.492926
input100D,4,2,8,2,0.518655
input100D,4,2,8,3,0.394995
input100D,4,2,8,4,0.466490
input100D,4,2,8,5,0.423544
input100D,4,4,16,1,0.273232
input100D,4,4,16,2,0.319111
input100D,4,4,16,3,0.262355
input100D,4,4,16,4,0.260136
input100D,4,4,16,5,0.270355
input100D,4,8,32,1,0.199107
input100D,4,8,32,2,0.164010
input100D,4,8,32,3,0.161945
input100D,4,8,32,4,0.192352
input100D,4,8,32,5,0.152403
input100D,4,16,64,1,0.108786
input100D,4,16,64,2,0.104056
input100D,4,16,64,3,0.118153
input100D,4,16,64,4,0.124045
input100D,4,16,64,5,0.120968
input100D2,2,1,2,1,21.708490
input100D2,2,1,2,2,21.724074
input100D2,2,1,2,3,21.714966
input100D2,2,1,2,4,21.706728
input100D2,2,1,2,5,21.702496
input100D2,2,2,4,1,10.907014
input100D2,2,2,4,2,10.902372
input100D2,2,2,4,3,10.911297
input100D2,2,2,4,4,10.892468
input100D2,2,2,4,5,10.901231
input100D2,2,4,8,1,5.460832
input100D2,2,4,8,2,5.457183
input100D2,2,4,8,3,5.456732
input100D2,2,4,8,4,5.460573
input100D2,2,4,8,5,5.460454
input100D2,2,8,16,1,2.755096
input100D2,2,8,16,2,2.756707
input100D2,2,8,16,3,2.752971
input100D2,2,8,16,4,2.765234
input100D2,2,8,16,5,2.760749
input100D2,2,16,32,1,1.424445
input100D2,2,16,32,2,1.420072
input100D2,2,16,32,3,1.419113
input100D2,2,16,32,4,1.432697
input100D2,2,16,32,5,1.422162
input100D2,2,32,64,1,0.914686
input100D2,2,32,64,2,0.914438
input100D2,2,32,64,3,0.873608
input100D2,2,32,64,4,0.917604
input100D2,2,32,64,5,0.915636
input100D2,4,1,4,1,24.473671
input100D2,4,1,4,2,24.106771
input100D2,4,1,4,3,21.694494
input100D2,4,1,4,4,25.491380
input100D2,4,1,4,5,24.896477
input100D2,4,2,8,1,12.411915
input100D2,4,2,8,2,12.652145
input100D2,4,2,8,3,12.432328
input100D2,4,2,8,4,12.597261
input100D2,4,2,8,5,12.653523
input100D2,4,4,16,1,6.575392
input100D2,4,4,16,2,6.837915
input100D2,4,4,16,3,6.479537
input100D2,4,4,16,4,6.592922
input100D2,4,4,16,5,7.013561
input100D2,4,8,32,1,3.684298
input100D2,4,8,32,2,4.000050
input100D2,4,8,32,3,3.712096
input100D2,4,8,32,4,4.076135
input100D2,4,8,32,5,3.740937
input100D2,4,16,64,1,2.206414
input100D2,4,16,64,2,2.204499
input100D2,4,16,64,3,2.229401
input100D2,4,16,64,4,2.272701
input100D2,4,16,64,5,2.276566
200k_100,2,1,2,1,30.331045
200k_100,2,1,2,2,30.276107
200k_100,2,1,2,3,30.282322
200k_100,2,1,2,4,30.282774
200k_100,2,1,2,5,30.297401
200k_100,2,2,4,1,15.271863
200k_100,2,2,4,2,15.247873
200k_100,2,2,4,3,15.257031
200k_100,2,2,4,4,15.236463
200k_100,2,2,4,5,15.257078
200k_100,2,4,8,1,7.702395
200k_100,2,4,8,2,7.711320
200k_100,2,4,8,3,7.684674
200k_100,2,4,8,4,7.703571
200k_100,2,4,8,5,7.714283
200k_100,2,8,16,1,3.968037
200k_100,2,8,16,2,3.961947
200k_100,2,8,16,3,3.968012
200k_100,2,8,16,4,3.962974
200k_100,2,8,16,5,3.963826
200k_100,2,16,32,1,2.122853
200k_100,2,16,32,2,2.122326
200k_100,2,16,32,3,2.123635
200k_100,2,16,32,4,2.124184
200k_100,2,16,32,5,2.123289
200k_100,2,32,64,1,1.328665
200k_100,2,32,64,2,1.326074
200k_100,2,32,64,3,1.331882
200k_100,2,32,64,4,1.327255
200k_100,2,32,64,5,1.317203
200k_100,4,1,4,1,30.012285
200k_100,4,1,4,2,37.362126
200k_100,4,1,4,3,33.007076
200k_100,4,1,4,4,30.032853
200k_100,4,1,4,5,30.011914
200k_100,4,2,8,1,19.125341
200k_100,4,2,8,2,18.880472
200k_100,4,2,8,3,18.584187
200k_100,4,2,8,4,21.131165
200k_100,4,2,8,5,19.377878
200k_100,4,4,16,1,10.700799
200k_100,4,4,16,2,10.521748
200k_100,4,4,16,3,11.072938
200k_100,4,4,16,4,10.326834
200k_100,4,4,16,5,10.758972
