# MPI K-means Timing Results
# Format: dataset,processes,run,computation_time_seconds
dataset,processes,run,computation_time
input100D,1,1,1.157487
input100D,1,2,1.157897
input100D,1,3,1.157167
input100D,1,4,1.157377
input100D,1,5,1.157881
input100D,2,1,0.584732
input100D,2,2,0.583025
input100D,2,3,0.677499
input100D,2,4,0.678079
input100D,2,5,0.581443
input100D,4,1,0.290975
input100D,4,2,0.338772
input100D,4,3,0.377980
input100D,4,4,0.339504
input100D,4,5,0.340101
input100D,8,1,0.173494
input100D,8,2,0.209262
input100D,8,3,0.175587
input100D,8,4,0.217338
input100D,8,5,0.171585
input100D,16,1,0.133257
input100D,16,2,0.134402
input100D,16,3,0.131333
input100D,16,4,0.092646
input100D,16,5,0.129682
input100D,32,1,0.094873
input100D,32,2,0.051211
input100D,32,3,0.093849
input100D,32,4,0.092414
input100D,32,5,0.086360
input100D,64,1,0.050887
input100D,64,2,0.046894
input100D,64,3,0.033630
input100D,64,4,0.042560
input100D,64,5,0.051131
input100D2,1,1,36.428415
input100D2,1,2,36.412072
input100D2,1,3,36.408759
input100D2,1,4,36.401967
input100D2,1,5,36.409947
input100D2,2,1,18.286033
input100D2,2,2,18.212770
input100D2,2,3,21.320576
input100D2,2,4,18.206965
input100D2,2,5,18.220509
input100D2,4,1,9.525034
input100D2,4,2,9.281742
input100D2,4,3,9.177141
input100D2,4,4,10.669595
input100D2,4,5,9.760240
input100D2,8,1,4.630449
input100D2,8,2,5.635607
input100D2,8,3,5.048763
input100D2,8,4,4.659596
input100D2,8,5,5.342981
input100D2,16,1,2.443530
input100D2,16,2,2.600770
input100D2,16,3,2.532940
input100D2,16,4,2.708739
input100D2,16,5,2.637576
input100D2,32,1,1.689105
input100D2,32,2,1.446360
input100D2,32,3,1.468775
input100D2,32,4,1.315111
input100D2,32,5,1.589484
input100D2,64,1,0.794485
input100D2,64,2,0.892798
input100D2,64,3,0.822819
input100D2,64,4,0.849849
input100D2,64,5,0.894280
200k_100,1,1,50.797053
200k_100,1,2,50.838933
200k_100,1,3,50.795985
200k_100,1,4,50.847271
200k_100,1,5,50.785572
200k_100,2,1,25.445198
200k_100,2,2,25.446646
200k_100,2,3,25.728734
200k_100,2,4,25.495596
200k_100,2,5,25.470445
200k_100,4,1,12.795872
200k_100,4,2,12.815932
200k_100,4,3,12.983053
200k_100,4,4,14.208853
200k_100,4,5,12.819352
200k_100,8,1,6.915748
200k_100,8,2,7.353570
200k_100,8,3,7.099081
200k_100,8,4,6.800083
200k_100,8,5,7.064667
200k_100,16,1,3.469546
200k_100,16,2,3.591825
200k_100,16,3,3.595720
200k_100,16,4,3.970558
200k_100,16,5,3.392143
200k_100,32,1,1.733656
200k_100,32,2,2.256710
200k_100,32,3,1.609377
200k_100,32,4,2.024287
200k_100,32,5,2.525426
200k_100,64,1,1.173948
200k_100,64,2,1.439422
200k_100,64,3,1.183053
200k_100,64,4,1.064974
200k_100,64,5,1.249493
400k_100,1,1,101.560251
400k_100,1,2,101.570426
400k_100,1,3,101.574535
400k_100,1,4,101.815063
400k_100,1,5,101.755753
400k_100,2,1,50.880829
400k_100,2,2,50.775425
400k_100,2,3,50.814557
400k_100,2,4,50.827988
400k_100,2,5,50.769855
400k_100,4,1,25.523335
400k_100,4,2,25.584897
400k_100,4,3,25.694689
400k_100,4,4,25.572690
400k_100,4,5,25.739442
400k_100,8,1,13.564346
400k_100,8,2,13.118229
400k_100,8,3,13.126490
400k_100,8,4,14.195302
400k_100,8,5,12.898543
400k_100,16,1,6.480346
400k_100,16,2,7.063890
400k_100,16,3,32.349196
400k_100,16,4,6.885243
400k_100,16,5,6.997757
400k_100,32,1,3.713820
400k_100,32,2,3.607617
400k_100,32,3,3.394108
400k_100,32,4,3.233801
400k_100,32,5,3.796273
400k_100,64,1,2.315420
400k_100,64,2,4.926489
400k_100,64,3,2.146072
400k_100,64,4,2.570850
400k_100,64,5,2.392738
800k_100,1,1,159.257001
800k_100,1,2,159.184929
800k_100,1,3,159.470144
800k_100,1,4,159.435525
800k_100,1,5,159.361789
800k_100,2,1,79.750220
800k_100,2,2,79.709806
800k_100,2,3,79.712576
800k_100,2,4,79.857068
800k_100,2,5,79.822315
800k_100,4,1,41.662768
800k_100,4,2,39.980956
800k_100,4,3,40.032445
800k_100,4,4,40.708358
800k_100,4,5,40.035447
800k_100,8,1,20.165296
800k_100,8,2,20.133086
800k_100,8,3,20.175100
800k_100,8,4,20.576955
800k_100,8,5,26.030552
800k_100,16,1,10.288754
800k_100,16,2,10.356996
800k_100,16,3,10.495746
800k_100,16,4,10.023877
800k_100,16,5,11.869732
800k_100,32,1,5.645203
800k_100,32,2,5.429448
800k_100,32,3,6.034486
800k_100,32,4,5.103793
800k_100,32,5,5.467053
800k_100,64,1,3.811033
800k_100,64,2,3.896693
800k_100,64,3,3.531393
800k_100,64,4,3.824394
800k_100,64,5,4.095606
