# OpenMP K-means Timing Results
# Format: dataset,threads,run,computation_time_seconds
dataset,threads,run,computation_time
input100D,1,1,1.173660
input100D,1,2,1.168339
input100D,1,3,1.170415
input100D,1,4,1.168420
input100D,1,5,1.170891
input100D,2,1,0.586177
input100D,2,2,0.585599
input100D,2,3,0.585894
input100D,2,4,0.585005
input100D,2,5,0.585615
input100D,4,1,0.301133
input100D,4,2,0.301094
input100D,4,3,0.301213
input100D,4,4,0.301172
input100D,4,5,0.301270
input100D,8,1,0.153271
input100D,8,2,0.153262
input100D,8,3,0.153148
input100D,8,4,0.153221
input100D,8,5,0.153118
input100D,16,1,0.080756
input100D,16,2,0.081181
input100D,16,3,0.081077
input100D,16,4,0.080902
input100D,16,5,0.081006
input100D,32,1,0.058291
input100D,32,2,0.058203
input100D,32,3,0.058529
input100D,32,4,0.058588
input100D,32,5,0.058647
input100D,64,1,0.057287
input100D,64,2,0.057330
input100D,64,3,0.056931
input100D,64,4,0.057115
input100D,64,5,0.057007
input100D2,1,1,36.860089
input100D2,1,2,36.859161
input100D2,1,3,36.881643
input100D2,1,4,36.856910
input100D2,1,5,36.888370
input100D2,2,1,18.497900
input100D2,2,2,18.495103
input100D2,2,3,18.513269
input100D2,2,4,18.479551
input100D2,2,5,18.513760
input100D2,4,1,9.364137
input100D2,4,2,9.368779
input100D2,4,3,9.363983
input100D2,4,4,9.367636
input100D2,4,5,9.364898
input100D2,8,1,4.753155
input100D2,8,2,4.751861
input100D2,8,3,4.753350
input100D2,8,4,4.751859
input100D2,8,5,4.751698
input100D2,16,1,2.441367
input100D2,16,2,2.444350
input100D2,16,3,2.443373
input100D2,16,4,2.445621
input100D2,16,5,2.445659
input100D2,32,1,1.379159
input100D2,32,2,1.404115
input100D2,32,3,1.379447
input100D2,32,4,1.405903
input100D2,32,5,1.377733
input100D2,64,1,0.979377
input100D2,64,2,0.975997
input100D2,64,3,0.971553
input100D2,64,4,0.974061
input100D2,64,5,0.975794
200k_100,1,1,51.344751
200k_100,1,2,51.463167
200k_100,1,3,51.370531
200k_100,1,4,51.373549
200k_100,1,5,51.373995
200k_100,2,1,25.793828
200k_100,2,2,25.790458
200k_100,2,3,25.786353
200k_100,2,4,25.785670
200k_100,2,5,25.790473
200k_100,4,1,13.023965
200k_100,4,2,13.027244
200k_100,4,3,13.038455
200k_100,4,4,13.028593
200k_100,4,5,13.028633
200k_100,8,1,6.648718
200k_100,8,2,6.663476
200k_100,8,3,6.666554
200k_100,8,4,6.655680
200k_100,8,5,6.650704
200k_100,16,1,3.490281
200k_100,16,2,3.515320
200k_100,16,3,3.492255
200k_100,16,4,3.512557
200k_100,16,5,3.491981
200k_100,32,1,1.951119
200k_100,32,2,1.919588
200k_100,32,3,1.953247
200k_100,32,4,1.921159
200k_100,32,5,1.955661
200k_100,64,1,1.354224
200k_100,64,2,1.356406
200k_100,64,3,1.354679
200k_100,64,4,1.359997
200k_100,64,5,1.350583
400k_100,1,1,102.687442
400k_100,1,2,102.741127
400k_100,1,3,102.703324
400k_100,1,4,102.747668
400k_100,1,5,102.725873
400k_100,2,1,51.590764
400k_100,2,2,51.586649
400k_100,2,3,51.594967
400k_100,2,4,51.587775
400k_100,2,5,51.587699
400k_100,4,1,26.034709
400k_100,4,2,26.034481
400k_100,4,3,26.076784
400k_100,4,4,26.053747
400k_100,4,5,26.054326
400k_100,8,1,13.217889
400k_100,8,2,13.225823
400k_100,8,3,13.218708
400k_100,8,4,13.227686
400k_100,8,5,13.217560
400k_100,16,1,6.833696
400k_100,16,2,6.807919
400k_100,16,3,6.806301
400k_100,16,4,6.830982
400k_100,16,5,6.836092
400k_100,32,1,3.809789
400k_100,32,2,3.886195
400k_100,32,3,3.805038
400k_100,32,4,3.885220
400k_100,32,5,3.818575
400k_100,64,1,2.665660
400k_100,64,2,2.673322
400k_100,64,3,2.675834
400k_100,64,4,2.669566
400k_100,64,5,2.674570
800k_100,1,1,160.732910
800k_100,1,2,160.807549
800k_100,1,3,160.799436
800k_100,1,4,160.830953
800k_100,1,5,160.803057
800k_100,2,1,80.826545
800k_100,2,2,80.837171
800k_100,2,3,80.832190
800k_100,2,4,80.825317
800k_100,2,5,80.823462
800k_100,4,1,40.783358
800k_100,4,2,40.778982
800k_100,4,3,40.753933
800k_100,4,4,40.759073
800k_100,4,5,40.798468
800k_100,8,1,20.803621
800k_100,8,2,20.810689
800k_100,8,3,20.810334
800k_100,8,4,20.813599
800k_100,8,5,20.810072
800k_100,16,1,10.863558
800k_100,16,2,10.724301
800k_100,16,3,10.862077
800k_100,16,4,10.716378
800k_100,16,5,10.820786
800k_100,32,1,5.925790
800k_100,32,2,6.059761
800k_100,32,3,5.779132
800k_100,32,4,5.732642
800k_100,32,5,5.860057
800k_100,64,1,4.273914
800k_100,64,2,4.156447
800k_100,64,3,4.157171
800k_100,64,4,4.268169
800k_100,64,5,4.207161
