# Sequential K-means Timing Results
# Format: dataset,run,computation_time_seconds
dataset,run,computation_time
input100D,1,1.300993
input100D,2,1.300838
input100D,3,1.300717
input100D,4,1.301344
input100D,5,1.301572
input100D2,1,40.953287
input100D2,2,40.962881
input100D2,3,40.956755
input100D2,4,40.944594
input100D2,5,40.942442
200k_100,1,57.140261
200k_100,2,57.133982
200k_100,3,57.128620
200k_100,4,57.123773
200k_100,5,57.111460
400k_100,1,114.173257
400k_100,2,114.185751
400k_100,3,114.649737
400k_100,4,114.632186
400k_100,5,114.182326
800k_100,1,178.627306
800k_100,2,179.469409
800k_100,3,178.672414
800k_100,4,178.656851
800k_100,5,179.386540
